frame,expression
2690,neutral
2695,neutral
2700,neutral
2705,neutral
2710,neutral
2715,neutral
2720,neutral
2725,neutral
2730,neutral
2735,neutral
2740,neutral
2745,neutral
2750,neutral
2755,neutral
2760,neutral
2765,neutral
2770,neutral
2775,neutral
2780,neutral
2785,neutral
2790,neutral
2795,neutral
2800,neutral
2805,neutral
2810,neutral
2815,neutral
2820,neutral
2825,neutral
2830,neutral
2835,neutral
2840,neutral
2845,neutral
2850,neutral
2855,neutral
2860,neutral
2865,neutral
2870,neutral
2875,neutral
2880,neutral
2885,neutral
2890,neutral
2895,neutral
2900,neutral
2905,neutral
2910,neutral
2915,neutral
2920,neutral
2925,neutral
2930,neutral
2935,neutral
2940,neutral
2945,neutral
2950,neutral
2955,neutral
2960,neutral
2965,neutral
2970,neutral
2975,neutral
2980,neutral
2985,neutral
2990,neutral
2995,neutral
3000,neutral
3005,neutral
3010,neutral
3015,neutral
3020,neutral
3025,neutral
3030,neutral
3035,neutral
3040,neutral
3045,neutral
3050,neutral
3055,neutral
3060,neutral
3065,neutral
3070,neutral
3075,neutral
3080,neutral
3085,neutral
3090,neutral
3095,neutral
3100,neutral
3105,neutral
3110,neutral
3115,neutral
3120,neutral
3125,neutral
3130,neutral
3135,neutral
3140,neutral
3145,neutral
3150,neutral
3155,neutral
3160,neutral
3165,neutral
3170,neutral
3175,neutral
3180,neutral
3185,neutral
3190,neutral
3195,neutral
3200,neutral
3205,neutral
3210,neutral
3215,neutral
3220,neutral
3225,neutral
3230,neutral
3235,neutral
3240,neutral
3245,neutral
3250,neutral
3255,neutral
3260,neutral
3265,neutral
3270,neutral
3275,neutral
3280,neutral
3285,neutral
3290,neutral
3295,neutral
3300,neutral
3305,neutral
3310,neutral
3315,neutral
3320,neutral
3325,neutral
3330,neutral
3335,neutral
3340,neutral
3345,neutral
3350,neutral
3355,neutral
3360,neutral
3365,neutral
3370,neutral
3375,neutral
3380,neutral
3385,neutral
3390,neutral
3395,neutral
3400,neutral
3405,neutral
3410,neutral
3415,neutral
3420,neutral
3425,neutral
3430,neutral
3435,neutral
3440,neutral
3445,neutral
3450,neutral
3455,neutral
3460,neutral
3465,neutral
3470,neutral
3475,neutral
3480,neutral
3485,neutral
3490,neutral
3495,neutral
3500,neutral
3505,neutral
3510,neutral
3515,neutral
3520,neutral
3525,neutral
3530,neutral
3535,neutral
3540,neutral
3545,neutral
3550,neutral
3555,neutral
3560,neutral
3565,neutral
3570,neutral
3575,neutral
3580,neutral
3585,neutral
3590,neutral
3595,neutral
3600,neutral
3605,neutral
3610,neutral
3615,neutral
3620,neutral
3625,neutral
3630,neutral
3635,neutral
3640,neutral
3645,neutral
3650,neutral
3655,neutral
3660,neutral
3665,neutral
3670,neutral
3675,neutral
3680,neutral
3685,neutral
3690,neutral
3695,neutral
3700,neutral
3705,neutral
3710,neutral
